id,ifc_ID,usgs_ID
1,519,5387440
2,521,5389000
3,522,5389400
4,523,5411600
5,525,5412400
6,526,5418400
7,527,5420680
8,532,5422600
9,534,5451210
10,535,5451700
11,536,5451900
12,537,5452000
13,538,5452200
14,539,5453000
15,540,5453520
16,541,5454000
17,542,5454090
18,543,5454220
19,544,5454300
20,546,5455100
21,549,5458000
22,551,5463500
23,552,5464220
24,553,5464942
25,554,5471200
26,556,5473400
27,557,5473450
28,562,5480820
29,563,5481650
30,564,5482300
31,565,5483450
32,566,5483600
33,568,5484800
34,569,5485605
35,570,5485640
36,571,5487520
37,572,5487980
38,573,5488110
39,574,5488200
40,575,6602400
41,579,6903900
42,585,5387500
43,586,5388250
44,587,5411850
45,588,5412020
46,589,5412500
47,590,5416900
48,591,5418500
49,592,5421000
50,593,5421740
51,594,5422000
52,595,5449500
53,596,5451500
54,597,5453100
55,598,5454500
56,599,5455500
57,600,5455700
58,601,5457700
59,602,5458300
60,603,5458500
61,604,5458900
62,605,5459500
63,606,5462000
64,607,5463000
65,608,5463050
66,609,5464000
67,610,5464315
68,611,5464420
69,612,5464500
70,613,5465000
71,614,5465500
72,615,5465700
73,616,5470000
74,617,5470500
75,618,5471000
76,619,5471050
77,620,5471500
78,621,5472500
79,622,5474000
80,624,5476590
81,625,5476750
82,626,5478265
83,627,5479000
84,628,5480500
85,629,5481000
86,630,5481300
87,631,5481950
88,632,5482000
89,634,5482500
90,635,5484000
91,636,5484500
92,637,5484650
93,638,5484900
94,639,5485500
95,640,5486000
96,641,5486490
97,642,5487470
98,643,5488500
99,644,5489000
100,645,5489500
101,646,5490500
102,648,6483290
103,649,6483500
104,653,6600100
105,654,6600500
106,655,6602020
107,656,6605000
108,657,6605850
109,658,6606600
110,659,6607200
111,660,6607500
112,661,6608500
113,662,6609500
114,663,6807410
115,664,6808500
116,665,6809210
117,666,6809500
118,667,6810000
119,668,6817000
120,669,6819185
121,670,6898000
122,671,6903400
123,673,6904010
124,1609,5451770
125,1688,5464780
