station_id,upstream_id
570,569
625,624
627,626
628,625
628,627
629,562
630,628
630,629
563,630
632,630
632,631
634,564
566,565
635,566
636,635
636,564
637,636
638,568
638,636
639,632
639,638
571,639
571,642
571,570
571,640
571,641
573,571
573,572
643,573
643,574
645,643
645,644
646,645
664,663
666,665
667,664
667,665
667,666
544,543
596,595
596,534
1609,596
1609,535
597,539
540,597
598,540
598,541
598,542
598,544
600,598
600,546
600,599
602,601
602,549
603,602
606,605
608,607
608,603
608,606
608,604
609,608
609,551
610,609
610,552
611,610
612,611
1688,612
613,1688
613,553
614,613
614,600
615,614
618,616
618,617
619,618
620,619
620,554
622,556
622,557
592,527
593,592
594,593
587,523
588,587
589,525
589,588
585,519
586,585
591,526
591,590
654,653
657,656
658,657
575,659
660,575
649,648
579,671
673,579
